Fecha,temperatura (°F),punto_de_rocio (°F),humedad,Columna1,Velocidad del viento (mph),rafaga_viento (mph),presion
15-9-2005:00:00,84,79,84,NNE,6,0,29.85 °in
15-9-2005:01:00,82,79,89,VAR,3,0,29.84 °in
15-9-2005:02:00,82,79,89,VAR,2,0,29.83 °in
15-9-2005:03:00,82,77,84,CALM,0,0,29.82 °in
15-9-2005:04:00,82,77,84,NNE,8,0,29.78 °in
15-9-2005:05:00,82,77,84,NNE,6,0,29.77 °in
15-9-2005:06:00,82,79,89,E,5,0,29.81 °in
15-9-2005:07:00,82,79,89,ESE,7,0,29.81 °in
15-9-2005:08:00,84,79,84,SE,9,0,29.83 °in
15-9-2005:09:00,86,79,79,S,10,0,29.84 °in
15-9-2005:10:00,90,77,66,SE,9,0,29.83 °in
15-9-2005:11:00,91,77,63,ESE,8,0,29.80 °in
15-9-2005:12:00,91,77,63,VAR,3,0,29.81 °in
15-9-2005:13:00,91,79,66,W,9,0,29.79 °in
15-9-2005:13:13,84,77,79,WSW,9,0,29.77 °in
15-9-2005:14:00,84,79,84,S,15,0,29.77 °in
15-9-2005:14:16,82,77,84,SSW,12,0,29.77 °in
15-9-2005:15:00,81,77,89,VAR,2,0,29.77 °in
15-9-2005:17:00,82,77,84,VAR,3,0,29.77 °in
15-9-2005:18:00,82,79,89,VAR,2,0,29.79 °in
15-9-2005:19:00,82,77,84,CALM,0,0,29.80 °in
15-9-2005:20:00,81,77,89,CALM,0,0,29.84 °in
15-9-2005:21:00,82,77,84,VAR,2,0,29.87 °in
15-9-2005:22:00,82,77,84,CALM,0,0,29.88 °in
15-9-2005:23:00,82,77,84,CALM,0,0,29.87 °in
16-9-2005:01:00,82,79,89,CALM,0,0,29.85 °in
16-9-2005:03:00,81,79,94,CALM,0,0,29.80 °in
16-9-2005:04:00,82,79,89,VAR,3,0,29.81 °in
16-9-2005:05:00,81,79,94,CALM,0,0,29.81 °in
16-9-2005:06:00,81,79,94,CALM,0,0,29.80 °in
16-9-2005:07:00,81,79,94,ESE,7,0,29.81 °in
16-9-2005:08:00,84,79,84,SE,6,0,29.84 °in
16-9-2005:09:00,86,79,79,SSE,8,0,29.86 °in
16-9-2005:10:00,88,79,75,VAR,3,0,29.86 °in
16-9-2005:11:00,90,79,70,NW,6,0,29.84 °in
16-9-2005:12:00,90,81,75,W,8,0,29.83 °in
16-9-2005:13:00,90,81,75,WNW,13,0,29.83 °in
16-9-2005:14:00,90,79,70,WSW,8,0,29.81 °in
16-9-2005:15:00,86,79,79,W,6,0,29.78 °in
16-9-2005:16:00,84,81,89,NW,5,0,29.77 °in
16-9-2005:17:00,86,79,79,NW,7,0,29.77 °in
16-9-2005:18:00,84,81,89,N,7,0,29.78 °in
16-9-2005:19:00,84,81,89,NNE,5,0,29.79 °in
16-9-2005:20:00,84,79,84,E,8,0,29.80 °in
16-9-2005:21:00,82,79,89,ENE,5,0,29.81 °in
16-9-2005:22:00,82,79,89,VAR,2,0,29.82 °in
16-9-2005:23:00,82,79,89,VAR,3,0,29.80 °in
17-9-2005:00:00,82,79,89,ENE,5,0,29.81 °in
17-9-2005:01:00,82,79,89,VAR,2,0,29.80 °in
17-9-2005:02:00,82,79,89,CALM,0,0,29.78 °in
17-9-2005:03:00,81,77,89,CALM,0,0,29.77 °in
17-9-2005:04:00,81,77,89,E,5,0,29.78 °in
17-9-2005:05:00,81,77,89,CALM,0,0,29.76 °in
17-9-2005:06:00,81,79,94,E,6,0,29.76 °in
17-9-2005:07:00,81,79,94,VAR,3,0,29.78 °in
17-9-2005:08:00,84,79,84,S,5,0,29.80 °in
17-9-2005:09:00,88,79,75,VAR,3,0,29.81 °in
17-9-2005:10:00,88,79,75,NW,5,0,29.81 °in
17-9-2005:11:00,90,79,70,NW,7,0,29.80 °in
17-9-2005:12:00,90,79,70,WNW,8,0,29.79 °in
17-9-2005:13:00,90,79,70,WNW,7,0,29.76 °in
17-9-2005:14:00,91,81,71,NW,7,0,29.72 °in
17-9-2005:15:00,90,81,75,WNW,9,0,29.71 °in
17-9-2005:16:00,90,79,70,W,9,0,29.70 °in
17-9-2005:18:00,86,79,79,NW,9,0,29.72 °in
17-9-2005:19:00,86,79,79,N,5,0,29.74 °in
17-9-2005:20:00,86,79,79,N,5,0,29.76 °in
17-9-2005:21:00,86,79,79,NNW,8,0,29.77 °in
17-9-2005:22:00,86,81,84,N,6,0,29.77 °in
17-9-2005:23:00,102,79,47,N,6,0,29.78 °in
18-9-2005:00:00,84,79,84,N,6,0,29.77 °in
18-9-2005:01:00,82,79,89,CALM,0,0,29.77 °in
18-9-2005:02:00,82,79,89,VAR,2,0,29.75 °in
18-9-2005:03:00,82,77,84,VAR,2,0,29.74 °in
18-9-2005:04:00,82,79,89,VAR,3,0,29.74 °in
18-9-2005:05:00,0,0,0,E,5,0,29.73 °in
18-9-2005:06:00,81,79,94,VAR,2,0,29.73 °in
18-9-2005:07:00,82,79,89,CALM,0,0,29.75 °in
18-9-2005:08:00,86,79,79,VAR,2,0,29.76 °in
18-9-2005:09:00,90,81,75,NNW,7,0,29.77 °in
18-9-2005:10:00,90,79,70,NNW,7,0,29.74 °in
18-9-2005:11:00,93,82,71,NNW,7,0,29.77 °in
18-9-2005:12:00,91,81,71,NNW,12,0,29.75 °in
18-9-2005:13:00,91,81,71,NW,9,0,29.73 °in
18-9-2005:14:00,93,81,67,N,7,0,29.71 °in
18-9-2005:14:31,90,81,75,N,9,0,29.69 °in
18-9-2005:14:50,84,77,79,ESE,14,0,29.71 °in
18-9-2005:15:00,79,77,94,ENE,5,0,29.69 °in
18-9-2005:15:12,79,77,94,VAR,2,0,29.69 °in
18-9-2005:16:00,0,0,0,VAR,3,0,0.00 °in
18-9-2005:17:00,86,79,79,VAR,3,0,29.69 °in
18-9-2005:18:00,86,81,84,NNW,5,0,29.71 °in
18-9-2005:19:00,84,81,89,N,9,0,29.71 °in
18-9-2005:20:00,84,81,89,VAR,3,0,29.72 °in
18-9-2005:21:00,84,81,89,NE,5,0,29.74 °in
18-9-2005:22:00,84,81,89,VAR,2,0,29.74 °in
18-9-2005:23:00,84,81,89,NNE,5,0,29.74 °in
19-9-2005:00:00,82,79,89,CALM,0,0,29.74 °in
19-9-2005:01:00,82,81,94,CALM,0,0,29.74 °in
19-9-2005:02:00,82,79,89,CALM,0,0,29.74 °in
19-9-2005:03:00,82,79,89,CALM,0,0,29.73 °in
19-9-2005:04:00,82,79,89,CALM,0,0,29.72 °in
19-9-2005:05:00,82,79,89,CALM,0,0,29.73 °in
19-9-2005:06:00,82,81,94,CALM,0,0,29.72 °in
19-9-2005:07:00,82,81,94,E,6,0,29.75 °in
19-9-2005:08:00,86,81,84,VAR,2,0,29.77 °in
19-9-2005:09:00,88,79,75,VAR,3,0,29.78 °in
19-9-2005:10:00,90,81,75,WNW,5,0,29.78 °in
